Geburtsort,Anzahl
Gesamt,104715
Moers,29282
Duisburg,12312
Kamp-Lintfort,1616
Krefeld,1568
Rheinhausen jetzt Duisburg,1565
Rheinkamp jetzt Moers,1506
Homberg jetzt Duisburg,1345
Essen,1331
Moers Krs Wesel,1194
Oberhausen,1086
Düsseldorf,852
Unbekannt,838
Rheinberg,813
Neukirchen-Vluyn,766
Homberg (Niederrhein) jetzt Duisburg,748
Repelen-Baerl jetzt Moers,729
Orsoy jetzt Rheinberg,594
Mülheim an der Ruhr,587
Gelsenkirchen,585
Dinslaken,481
Rheinkamp Jetzt Moers,424
Beuthen,390
Rheinhausen Jetzt Duisburg,383
Köln,366
Bochum,356
Hindenburg,340
Berlin,327
Dortmund,303
Wesel,300
Sevelen jetzt Issum,298
Homberg J Duisburg,295
Homberg Jetzt Duisburg,293
Kapellen jetzt Moers,280
Issum,256
Devrek,249
Pazarcik,248
Geldern,234
Rheinhausen J Duisburg,225
Mönchengladbach,221
Wuppertal,206
Orsoy Jetzt Rheinberg,202
Hamburg,192
Bottrop,168
Caycuma,165
Zonguldak,162
Rheinkamp J Moers Krs Wesel,156
Breslau,140
Alpen,137
Herne,131
Leipzig,130
Moers Krs.Wesel,128
Kattowitz,126
Bartin,125
Xanten,124
Aachen,121
Moers Krs. Wesel,120
Neuss,119
Gleiwitz,118
Kempen,117
Münster,117
Aleppo,116
Homberg j. Duisburg,116
Mardin,112
Recklinghausen,112
Königsberg,111
Danzig,110
Eregli,110
Bonn,108
Dresden,107
Kleve,105
Magdeburg,104
Waldenburg,101
Königshütte,96
Bagdad,95
Çaycuma,89
Viersen,89
Walsum jetzt Duisburg,89
Frankfurt am Main,85
Rheinkamp J Moers,85
Tönisvorst,82
Hannover,81
Oppeln,81
Stettin,81
Würselen,80
Bremen,78
Repelen-Baerl Jetzt Moers,78
Hagen,77
Kevelaer,77
Sevelen Jetzt Issum,76
Marl,75
Rumeln-Kaldenhausen jetzt Duisburg,75
Besiri,74
Goch,74
Gladbeck,73
Kapellen Jetzt Moers,73
Ratingen,72
Damaskus,68
Duisburg-Hamborn jetzt Duisburg,67
München,67
Rheinhausen j. Duisburg,67
Beirut,65
Neukirchen jetzt Neukirchen-Vluyn,65
Solingen,64
Ruda Slaska,62
Istanbul,61
Lank-Latum jetzt Meerbusch,60
Kütahya,60
Herten,59
Nicht bekannt,59
Remscheid,59
Ruda,59
Velbert,59
Altintas,58
Hüls jetzt Krefeld,58
Willich,58
Kiel,57
Orsoy J Rheinberg Krs Wesel,57
Schwientochlowitz,57
Erfurt,56
Halle (Saale),54
Kamp-Lintfort Krs Wesel,54
Tuzla,54
Braunschweig,53
Lübeck,53
unbekannt,53
Wanne-Eickel jetzt Herne,53
Allenstein,52
Castrop-Rauxel,52
Hamm,52
Oujda,52
Kassel,51
Leverkusen,51
Osnabrück,51
Ratibor,50
Witten,50
Bocholt,49
Lünen,49
Göttingen,48
Düren,46
Peiskretscham,46
Teheran,46
Paderborn,45
Siegen,45
Tarnowitz,45
Bielefeld,44
Groß Strehlitz,44
Laurahütte,44
Stuttgart,44
Ulus,44
Zwickau,44
Emmerich jetzt Emmerich am Rhein,43
Mettmann,43
Rostock,43
Bukarest,42
Kabul,42
Mannheim,42
Carbonia,41
Hilden,41
Repelen-Baerl J Moers,41
Repelen-Baerl J Moers Krs Wesel,41
Koblenz,40
Orsoy J Rheinberg,40
Konin,39
Wattenscheid jetzt Bochum,39
Gediz,38
Hamborn jetzt Duisburg,38
Karaganda,38
Nürnberg,38
Pawlodar,38
Rheinberg Krs Wesel,38
Unna,38
Belgrad,37
Dorsten,37
Yesilli,37
Ayancik,36
Chemnitz,36
Elbing,36
Rheinkamp j. Moers,36
Sevelen J Issum Krs Kleve,36
Soma,36
Tobol,36
Wilhelmshaven,36
Bouarfa,35
Eschweiler,35
Übach-Palenberg,35
Hasaka,34
Heidelberg,34
Karlsruhe,34
Potsdam,34
Savsat,34
Fergana,33
Neukirchen-Vluyn Krs Wesel,33
Rheurdt,33
Gera,32
Gießen,32
Meerbusch,32
Oldenburg,32
Tunceli,32
Lüdenscheid,31
Rheinkamp J.Moers Krs.Wesel,31
Trier,31
Hildesheim,30
Rybnik,30
Tavsanli,30
Waltrop,30
Baalbek,29
Datteln,29
Erzincan,29
Grevenbroich,29
Nineveh,29
Riga,29
Saarbrücken,29
Wiesbaden,29
Emet,28
Kinshasa,28
Marinowka,28
Neustadt,28
Posen,28
Rheine,28
Würzburg,28
Mosul,27
Celle,27
Iserlohn,27
Lintfort jetzt Kamp-Lintfort,27
Lodz,27
Bremerhaven,26
Budberg jetzt Rheinberg,26
Detmold,26
Dursunbey,26
Herford,26
Kapellen J Moers Krs Wesel,26
Mainz,26
Osmancik,26
Preußisch Stargard,26
Schwerin,26
Skopje,26
Zenica,26
Alma-Ata,25
Straelen,25
Altenburg,25
Bromberg,25
Coesfeld,25
Emden,25
Heinsberg,25
Herdecke,25
Jülich,25
Kalkar,25
Karl-Marx-Stadt jetzt Chemnitz,25
Rheydt jetzt Mönchengladbach,25
Ahlen,24
Ankara,24
Büderich jetzt Wesel,24
Kelkit,24
Kozlu,24
Minden,24
Wien,24
Frunse,23
Klausberg,23
Akcadag,23
Bergisch Gladbach,23
Flensburg,23
Haan,23
Hattingen,23
Mechtal,23
Stralsund,23
Aldekerk jetzt Kerken,22
Baalbeck,22
Danzig-Langfuhr,22
Donezkoje,22
Gummersbach,22
Halle an der Saale,22
Hameln,22
Iskenderun,22
Nusaybin,22
Pristina,22
Soest,22
Thorn,22
Berlin-Neukölln,21
Bytom,21
Cuxhaven,21
Duisburg-Hamborn,21
Erkelenz,21
Gelsenkirchen-Buer,21
Görlitz,21
Gottesberg,21
Greifswald,21
Krefeld-Uerdingen,21
Marburg,21
Omsk,21
Plovdiv,21
Repelen-Baerl jetzt Duisburg,21
Sivas,21
Avanos,20
Bobrek-Karf,20
Delmenhorst,20
Hanau,20
Kamp-Lintfort Krs. Wesel,20
Krappitz,20
Leer,20
M.Gladbach jetzt Mönchengladbach,20
Offenbach am Main,20
Walsum Jetzt Duisburg,20
Weißstein,20
Duschanbe,19
Merseburg,19
Aksaray,19
Beckum,19
Dessau,19
Greven,19
Hamborn Jetzt Duisburg,19
Meerbeck J Moers Krs Wesel,19
Neubrandenburg,19
Neukirchen Jetzt Neukirchen-Vluyn,19
Northeim,19
Plauen,19
Semipalatinsk,19
Shkoder,19
St.Tönis jetzt Tönisvorst,19
Wismar,19
Akçadag,18
Amsterdam,18
Aschersleben,18
